"","AREA","ALTBAR","ASPBAR","ASPVAR","BFIHOST19","DPLBAR","DPSBAR","FARL","FPEXT","LDP","PROPWET","RMED-1H","RMED-1D","RMED-2D","SAAR","SAAR4170","SPRHOST","URBEXT2000","QMED","QMEDcd","X","Y","QMEDfse","N","URBEXT1990","BFIHOST"
"23008",345.1975,284,129,0.11,0.329,25.88,94.3,0.978,0.0409,48.82,0.47,9.4,32.7,44,941,1024,49.36,6e-04,130.4,108.804900572313,384095,596079,1.05371799641971,54,6e-04,0.322
"23009",118.675,514,5,0.25,0.284,10.14,119,0.999,0.0252,16.54,0.64,11,45,61.2,1522,1708,53.7,0.0013,144.28,109.840625011404,371823,540060,1.06110644934679,45,6e-04,0.266
"23010",95.5075,301,149,0.25,0.307,9.61,85.2,1,0.0291,18.45,0.56,9.7,34.2,45,993,1063,52.58,0,63.975,45.6075083462228,376212,592872,1.1480721116046,10,1e-04,0.305
"23011",58.59,408,189,0.16,0.279,7.77,136.6,1,0.02,13.22,0.59,10.6,38.3,50.9,1199,1401,55.03,0,65.4045,43.7678401479635,366679,598876,1.0459291397076,52,0,0.273
"23013",78.5575,402,36,0.27,0.301,9.63,119.4,0.998,0.0224,18.05,0.63,10.3,39.2,54.2,1156,1259,51.63,4e-04,53.825,50.6107065705311,377487,551715,1.164898121016,12,3e-04,0.28
"23015",1049.63,275,129,0.14,0.336,39.76,90.9,0.989,0.0489,69.16,0.5,9.8,34.6,46.1,1013,1080,50.44,6e-04,404.72,330.840041713681,377645,588998,1.07054852842656,21,5e-04,0.311
"23017",62.3525,124,94,0.15,0.387,10.17,63.9,0.995,0.0664,22,0.33,9.8,34.6,43.7,685,702,36.02,0.135,12.2,11.2537134166545,422476,555286,1.08771911253143,44,0.0948,0.371
"23018",10.1375,91,67,0.25,0.333,2.89,30.9,0.977,0.1307,5.99,0.45,9.4,34.2,43.4,670,695,39.7,0.1,3.2875,2.38785745437993,417741,568934,1.08046465843175,32,0.0609,0.312
"23033",180.63,329,122,0.16,0.318,14.68,110.6,0.963,0.0305,28.11,0.49,9.6,33.8,45.4,1024,1124,51.15,3e-04,143.113,71.4092365308774,378734,601179,1.11170886640833,23,5e-04,0.31
"24001",661.1725,301,95,0.2,0.348,40.1,97.7,0.978,0.0347,71.51,0.47,10.1,35.8,46.9,932,970,43.94,0.0193,191.8135,178.357130983727,404830,534973,1.05752408028367,66,0.0148,0.342
"24003",173.49,472,75,0.17,0.305,13.24,132.2,0.978,0.0195,23.47,0.59,10.4,42.4,55.3,1279,1313,50.81,0.0015,125.313,107.452255471392,388680,539355,1.04087499237476,63,0.0016,0.3
"24004",74.1225,316,95,0.33,0.355,9.84,109,0.999,0.0105,17.31,0.59,10,34.8,45.1,895,948,43.76,6e-04,27.263,27.0176087999293,405023,530533,1.06021802711564,64,7e-04,0.362
"24005",178.995,197,90,0.25,0.353,20.28,77.5,0.999,0.0265,35.43,0.41,9.9,33.3,43,743,752,39.28,0.0314,38.4,37.4462758820351,416161,544505,1.04937229509281,69,0.0273,0.331
"24006",36.5975,451,116,0.19,0.297,7.19,119.4,0.994,0.0177,14.56,0.59,10.2,39.8,50.8,1126,1217,52.02,1e-04,24.62,25.1404503233989,391863,542749,1.06572470658094,20,0.0026,0.293
"24007",44.67,252,74,0.37,0.353,8.72,75.4,1,0.0148,15.29,0.59,10.1,34.8,44.8,797,797,40.49,9e-04,10.981,13.6802622575836,411174,544147,1.22291121338004,15,0.0014,0.333
"24008",454.6325,365,91,0.2,0.338,27.21,114.6,0.97,0.0239,50.14,0.59,10.2,38.2,50.2,1035,1071,46.36,0.0035,223.3,157.2647594481,398806,536856,1.10223436380484,49,0.0032,0.338
"24009",1005.0025,249,90,0.17,0.362,61.23,87.7,0.984,0.0414,103.28,0.4,9.9,34.6,45,855,885,41.84,0.0313,252.711,210.517038297245,411148,537834,1.07862112944983,46,0.0246,0.351
"25001",847.695,361,105,0.21,0.374,45.78,81.7,0.945,0.0526,85.6,0.54,10.5,39.6,52.1,1122,1226,46.76,0.0045,382.7,259.719657163849,396416,521254,1.05339142262759,67,0.0029,0.354
"25003",11.395,657,47,0.55,0.255,3.29,92,1,0.0409,5.91,0.64,11.7,53,75.7,1905,2027,59.86,0,15.182,20.1660519238546,373788,531868,1.05438950866279,50,0,0.227
"25004",224.19,100,148,0.22,0.395,26.62,34.2,0.977,0.1205,48.85,0.32,9.9,28.9,37.3,644,683,37.1,0.091,21.214,25.8792494247164,430605,526061,1.06779521688065,63,0.0694,0.398
"25005",194.1525,126,300,0.23,0.369,27.05,75.9,0.994,0.1067,44.61,0.34,10.1,33.3,43.6,726,727,40.45,0.0137,43.32,35.8801633382522,453157,507566,1.06856659961243,47,0.0098,0.381
"25006",86.8125,402,54,0.3,0.281,12.76,68.3,0.999,0.0421,24.01,0.62,10.7,40.3,54.5,1127,1268,55.22,0.0013,73.776,54.9698544954546,393998,510669,1.06756667862957,63,6e-04,0.241
"25008",510.15,452,109,0.2,0.347,26.88,99,0.912,0.0345,54.95,0.6,10.7,43.4,57.8,1310,1442,50.43,0.0026,261.3,201.251954435053,388626,525153,1.0802055155199,57,0.0012,0.321
"25009",1267.12,271,106,0.19,0.389,71.03,65.8,0.958,0.0784,122.71,0.4,10.3,36.2,47.3,966,1047,43.6,0.0224,406.762,282.55608241922,406924,520356,1.08143221213273,53,0.0169,0.374
"25011",12.7875,544,208,0.39,0.264,4.19,123.4,1,0.0124,7.21,0.59,10.7,44.2,59.4,1463,1457,58.21,0.001,15.647,16.2911959825181,385506,533453,1.08577032743795,37,6e-04,0.237
"25012",24.5825,539,147,0.27,0.283,5.57,121,1,0.0212,9.44,0.59,11.2,49.3,68.7,1577,1739,53.45,0,33.426,30.1859532897433,381653,533545,1.04964671309118,54,1e-04,0.261
"25018",242.0125,531,115,0.15,0.31,19.15,109.3,0.939,0.0336,37.72,0.6,11.1,47.9,65.1,1533,1704,53.89,5e-04,213.1405,156.545219193516,383002,529939,1.08574838873037,50,2e-04,0.283
"25019",15.0875,215,261,0.04,0.495,5.58,128,1,0.0195,9.53,0.38,10.5,37.8,52,830,855,38.58,0.0043,5.09,4.116199184608,460960,509662,1.140660285001,45,9e-04,0.524
"25020",152.765,112,145,0.21,0.428,13.88,35.9,0.977,0.1191,29.5,0.32,9.8,29,37.7,654,696,34.77,0.0489,14.2215,17.9548158742975,431319,529339,1.06190808111082,50,0.0386,0.437
"25021",75.6975,115,166,0.22,0.487,10.14,40.2,0.961,0.0992,21.84,0.32,9.8,29.8,38.6,662,692,34.36,0.0459,5.911,8.18111384657159,434851,532278,1.07327396182352,48,0.0363,0.472
"25029",183.86,131,299,0.23,0.369,21.9,76.7,0.994,0.1084,38.19,0.35,10.2,33.6,44,732,733,40.46,0.014,36.72,34.9872034508794,453584,507394,1.13223121142083,17,0.0101,0.382
"25808",0.75,614,215,0.85,0.308,0.88,116.9,1,-9999,1.81,0.64,11,44.1,59.6,1499,1790,53.3,0,0.0795,1.39141178288047,375200,533200,1.1806271257665,8,0,0.294
"25809",0.05,530,110,0.724,0.256,0.17,100.4,1,-9999,0.36,0.64,11.8,55.5,79.9,1757,1997,59.9,0,0.066,0.182608638221684,377300,532700,1.14246599466421,9,0,0.228
"25810",0.04,534,88,0.778,0.286,0.18,79.91,1,-9999,0.33,0.64,11.8,55.4,79.8,1757,1995,55,0,0.0945,0.143650565194756,377200,533200,1.03079131512458,6,0,0.275
"26003",59.5925,77,147,0.27,0.894,15.04,48.4,0.987,0.1062,24.01,0.3,10.2,31.6,40.6,698,723,10.43,0.0043,1.7785,1.5000707756221,504679,465162,1.07030502232505,62,0.0052,0.878
"26009",195.605,105,107,0.31,0.898,21.31,55.1,0.991,0.0736,37.97,0.32,11.1,33.7,42.9,721,767,10.45,0.0055,5.621,4.45694957747134,492273,457814,1.07064799293585,35,0.0079,0.897
"26010",49.475,78,153,0.4,0.879,11.07,49,0.986,0.1001,19.71,0.31,10.6,32.5,42,699,729,12.59,0.0248,2.02,1.39014746136238,500435,461550,1.07846316022996,22,0.0263,0.858
"26013",53.3325,63,104,0.41,0.837,9.45,28,0.997,0.0934,17.49,0.32,10.9,31.9,41.2,690,732,17.61,0.006,2.7,1.85610970832248,495225,453356,1.25560341350108,13,0.0095,0.807
"26014",32.415,104,153,0.32,0.924,7.8,65.5,1,0.0158,13.28,0.31,10.7,33.2,42.9,721,758,6.51,0.0072,0.424,0.860789710073726,498434,463036,1.23241112926029,25,0.0062,0.949
"26015",49.39,78,153,0.4,0.879,10.49,49.2,0.998,0.0968,190.8,0.31,10.6,32.5,42.1,699,729,12.56,0.0249,2.49,1.44718693154535,500424,461560,1.1834125969955,13,0.0264,0.859
"26016",15.85,154,10,0.19,0.927,3.85,57.2,1,0.0305,7.33,0.32,11,33.9,42.4,757,793,5.67,0,0.0995,0.520853858993353,488328,466463,1.11588483019877,26,0.0028,0.959
"26017",14.2025,107,287,0.16,0.94,3.99,73.7,1,0.0083,6.67,0.26,11.7,31.9,40.9,704,725,3.27,0.0094,0.5005,0.365412459341889,493427,436988,1.11580225142151,24,0.0063,0.985
"27001",493.9075,195,93,0.22,0.411,37.3,75.2,0.947,0.0854,75.66,0.37,11.4,38.6,48.8,962,967,39.59,0.0319,115.9935,114.441267390034,423311,461280,1.04908525429142,56,0.0253,0.407
"27002",759.0475,273,136,0.13,0.389,59.47,111.4,0.927,0.0532,107.5,0.43,11.1,40.7,53.4,1163,1171,42.75,0.0162,237.214,226.551636400955,408604,459310,1.05035379479851,87,0.0103,0.386
"27006",364.8775,262,73,0.28,0.431,23.52,106.5,0.884,0.0298,51.2,0.37,10.6,40.7,54.2,1014,1010,38.36,0.1331,87.105,73.2030676538221,426677,393030,1.07345355980151,67,0.1072,0.416
"27007",912.5825,273,84,0.2,0.392,52.98,98.7,0.981,0.0674,102.47,0.41,11.2,41.8,53.8,1120,1121,43.66,0.0078,278.172,300.587193982355,408676,481763,1.0719205276786,53,0.0039,0.42
"27009",3300.7975,185,100,0.13,0.426,76.4,69.1,0.983,0.1357,152.06,0.37,11,36.5,46.5,899,918,39.94,0.0148,322,550.047865812684,422906,481304,1.03028160150374,137,0.0103,0.439
"27010",18.82,323,161,0.22,0.303,5.2,149.8,1,0.0094,10.13,0.4,10.4,36,47.4,987,1038,50.58,7e-04,9.42,11.4027027785618,461815,498136,1.07521247751984,41,0.0026,0.341
"27014",680.895,181,152,0.23,0.536,27.49,98.1,0.996,0.0924,57.87,0.35,10.4,32.4,43,824,849,31.5,0.0045,84.718,89.698092374543,463599,488603,1.09052091312938,15,0.0034,0.547
"27021",1252.87,154,77,0.2,0.509,46.73,76.7,0.922,0.0571,83.17,0.34,10.5,35.9,47.2,800,800,29.91,0.1345,162.1,117.69279486149,435409,391201,1.05691413814682,65,0.1179,0.492
"27022",824.43,186,75,0.21,0.477,28.48,85.2,0.915,0.0454,57.2,0.38,10.6,37.2,48.3,864,860,32.36,0.1405,150.5905,105.245336443011,434197,384597,1.13206277730526,28,0.1197,0.464
"27023",119.5575,148,78,0.26,0.576,12.76,74.4,0.938,0.0398,25.43,0.32,10.2,35.1,49.1,766,764,25.15,0.0736,27.0035,12.1853762404485,427122,409349,1.05873793442655,64,0.0649,0.539
"27024",377.9675,411,86,0.16,0.322,26.16,134.4,0.999,0.028,48.74,0.62,11,42.9,55.6,1226,1307,49.28,9e-04,240.5405,203.722912276416,397707,501071,1.05654496955549,20,3e-04,0.342
"27025",351.1,134,77,0.16,0.506,23.27,69.2,0.937,0.0537,39.49,0.38,10.5,34.4,43,756,760,27.97,0.125,49.713,37.1210158876952,440144,373782,1.04086666310032,61,0.1033,0.494
"27026",167.0325,163,79,0.22,0.499,10.57,73.3,0.973,0.0424,18.8,0.38,10.4,35.2,43.6,811,796,27.91,0.1459,36.886,27.1557735144927,436202,371290,1.05383741774165,63,0.1064,0.491
"27027",445.285,354,161,0.13,0.355,32.95,137.1,0.976,0.0363,61.97,0.62,11.1,43.4,57.9,1369,1385,46.48,0.0044,267.21,236.707584317143,398529,466712,1.09725701100804,13,0.0019,0.366
"27028",687.0075,220,120,0.11,0.411,45.05,95.2,0.968,0.0586,81,0.49,10.5,37.8,50.5,1048,1034,38.51,0.1051,139.703,191.762309414825,403037,445838,1.0406860852298,63,0.0724,0.408
"27029",340.75,292,103,0.14,0.455,20.46,138.6,0.931,0.0256,35.53,0.57,11.2,43.3,58.7,1257,1264,38.53,0.0477,132.7065,110.516960583992,400166,424872,1.06669906145299,52,0.0338,0.455
"27030",310.9775,105,86,0.2,0.566,21.51,61.5,0.952,0.0715,45.53,0.32,10.3,33.8,45.7,696,707,25.42,0.1056,42.017,23.4285384176698,434277,406336,1.02001540136761,60,0.0971,0.533
"27031",245.58,246,54,0.24,0.629,15.67,121.8,0.947,0.0306,27.43,0.52,11.1,44.3,60.1,1144,1131,24.21,0.0896,90.357,42.8267991760363,412179,411831,1.06440795862944,59,0.0786,0.606
"27032",22.245,453,180,0.4,0.272,6.26,99.4,0.997,0.0206,12.43,0.62,11.5,42,54.9,1433,1451,57.36,0,4.052,24.8142558716357,401917,469050,1.07236341636869,55,0,0.252
"27034",510.935,366,83,0.14,0.353,33.45,129.6,0.99,0.0452,60.67,0.63,11.2,45.3,59.8,1337,1344,46.93,0.0043,252.951,271.655706686217,396731,487691,1.04632095076002,55,0.0016,0.386
"27035",283.3925,230,168,0.12,0.362,21.29,99.6,0.977,0.0732,38.45,0.62,10.5,39.3,52.8,1151,1131,42.48,0.0193,57.6185,122.874522159394,393463,455408,1.02624302444927,54,0.0089,0.385
"27040",68.1175,114,18,0.13,0.439,7.88,62.1,0.968,0.0574,17.74,0.38,10.7,34.1,41.6,708,717,32.6,0.0604,10.864,10.5673266934053,445465,369345,1.06858025345842,53,0.0564,0.433
"27041",1594.2425,128,160,0.14,0.601,54.85,76.8,0.994,0.141,99.17,0.34,10.6,32.2,42.2,765,784,28.21,0.008,70.6615,122.805521443736,476234,483445,1.04313396074922,50,0.0072,0.608
"27043",430.005,360,165,0.14,0.354,30.68,138.1,0.975,0.0351,58.7,0.62,11.2,43.7,58.4,1385,1402,46.68,0.0036,266.012,233.124079109751,398151,467368,1.0696964669647,50,0.0012,0.366
"27049",237.6,223,133,0.18,0.566,30.97,118,0.999,0.0386,50.3,0.34,10.6,34.5,45.3,839,877,29.88,0.0029,35.907,34.803336345868,456282,490526,1.08034149795433,50,0.0016,0.586
"27051",8.1725,174,84,0.4,0.329,2.58,62.9,1,0.0133,5.27,0.34,12.8,37.7,45.7,855,862,40.77,0.0058,4.564,3.97633327835987,426497,452134,1.08410751907607,51,0.0015,0.309
"27052",54.27,182,113,0.27,0.547,6.57,91.6,0.995,0.0232,12.45,0.38,10.5,34.9,44.3,834,824,25.12,0.1058,15.978,10.2884060149325,433892,376826,1.066476038336,47,0.0892,0.536
"27053",219.305,320,99,0.23,0.365,20.44,114,0.913,0.0291,39.48,0.53,11.3,42.3,54.8,1218,1206,45.34,0.0039,98.787,84.97887280092,411969,468699,1.07363390426544,47,0.0015,0.357
"27055",131.295,268,190,0.16,0.378,11.78,144,0.998,0.0145,22.13,0.34,10.4,35.7,47.2,882,938,43.18,5e-04,37.983,40.318723174669,454510,495668,1.10095666112482,43,7e-04,0.422
"27059",78.4375,195,93,0.4,0.418,14.88,64.4,0.982,0.0452,26.31,0.36,11.7,40,48.3,912,887,39.83,0.0097,22.0235,23.91675090468,421758,473031,1.06197072978949,46,0.0036,0.42
"27062",523.4725,185,91,0.22,0.417,51.02,71.8,0.95,0.1024,91.82,0.36,11.4,38.3,48.3,945,951,39.36,0.0308,92.391,115.59612642206,424594,460849,1.0723175110733,22,0.0244,0.416
"27065",100.7025,276,40,0.32,0.623,12.34,134.2,0.941,0.0269,20.73,0.57,11.4,47.3,64.5,1237,1232,25.07,0.0498,43.8375,22.7118960880254,412238,408833,1.15168796473166,44,0.038,0.605
"27071",1354.435,182,116,0.1,0.421,56.05,66.9,0.994,0.1193,116.15,0.38,10.8,34.4,43.7,835,872,39.86,0.013,161.926,231.274899544512,422328,495093,1.03795879487505,68,0.009,0.436
"27073",8.06,82,163,0.59,0.811,4.53,47.7,1,0.2373,9.71,0.39,10.4,32.2,41.2,721,717,17.77,0.0079,0.812,0.481633107356751,492579,482806,1.10482857677138,43,0.0121,0.887
"27079",950.1825,205,87,0.16,0.543,54.88,104.6,0.922,0.0598,88.74,0.39,10.8,39.5,53.3,1024,1026,30.07,0.1063,233.867,139.054906074335,413322,420300,1.07410875415277,35,0.0883,0.525
"27080",861.5775,194,119,0.12,0.409,51.29,86.7,0.96,0.0636,96.06,0.4,10.6,37.2,49.1,984,971,37.9,0.1529,156.076,202.174834966723,408314,443341,1.07037016263322,38,0.111,0.402
"27081",25.1025,80,87,0.39,0.575,6.86,40.4,0.997,0.0486,13.9,0.32,10.5,31.1,40.5,677,656,24.4,0.2235,2.47,2.89837801763158,432702,426837,1.13410426379939,37,0.2122,0.535
"27083",126.3525,39,195,0.28,0.52,17.47,20,0.99,0.2951,33.85,0.32,11.1,29.7,38.9,637,644,34.29,0.0343,12.323,11.3232714593863,461895,464668,1.08915484154917,35,0.0239,0.478
"27084",41.0125,260,35,0.2,0.316,7.46,114.2,0.998,0.025,12.1,0.62,10.5,38.1,53.1,1129,1123,46.64,0.0177,28.85,27.2158290189777,397155,443838,1.09811996914348,35,0.0101,0.315
"27086",117.325,187,86,0.39,0.412,15.05,66.1,0.97,0.0457,27.9,0.36,11.7,39.4,47.5,899,882,40.1,0.015,28.522,31.832950006822,422501,471703,1.07777605247278,37,0.0074,0.422
"27087",475.9375,101,182,0.14,0.662,24.16,67.3,0.996,0.1876,55.68,0.34,10.6,33.2,42.9,741,751,25.95,0.01,14.3895,32.2088113007268,493361,484722,1.0709384287246,34,0.0106,0.684
"27088",146.8675,323,150,0.11,0.354,11.46,147.9,0.945,0.0238,19.67,0.57,11.4,44,60.5,1360,1365,46.77,0.0229,81.918,81.8458545371041,395015,427885,1.05294296672146,30,0.0113,0.361
"27089",815.3475,258,128,0.13,0.418,66.41,106.3,0.93,0.0576,118.47,0.41,11.1,40.2,52.8,1130,1138,40.79,0.018,216.832,216.132258058014,410930,458205,1.1212845038652,32,0.0115,0.416
"27090",497.5575,358,84,0.19,0.363,32.15,119,0.998,0.0382,60.72,0.61,11,41,52.7,1123,1194,46.29,0.008,306.276,204.511519958007,401957,501699,1.08023780871854,31,0.0041,0.381
"27092",325.2675,222,62,0.1,0.326,24.65,110,0.999,0.023,46.65,0.4,10.5,35.8,46.9,877,896,48.58,0.0038,134.462,96.8249760787615,475910,504303,1.0732594861175,47,0.0023,0.349
"27094",158.2075,62,268,0.09,0.378,17.03,29.9,0.998,0.1521,39.43,0.34,10.3,29.6,36.9,637,658,39.07,0.0182,13.05,20.87506794849,437595,500443,1.27313017658162,17,0.016,0.367
"27095",66.26,169,179,0.34,0.663,11.8,116.4,1,0.0263,23.41,0.4,10.7,33.8,45.6,837,850,20,0.0037,7.413,8.11752516848783,482334,491293,1.14230760831766,23,0.0032,0.689
"27096",215.22,421,157,0.09,0.363,16.96,165.4,0.998,0.0345,32.57,0.62,11.5,48.1,65.2,1583,1640,46.46,0.0018,215.5375,162.748382570029,391641,474463,1.10304756191576,20,5e-04,0.386
"27097",464.8175,240,143,0.1,0.37,27.7,102.7,0.975,0.0641,53.08,0.62,10.5,38.5,51.9,1124,1113,42.36,0.0357,100.5725,175.573870639507,396907,450075,1.07205194026998,24,0.0208,0.379
"27098",715.7175,249,88,0.17,0.531,30.11,122.6,0.946,0.0346,53.93,0.51,11,42.1,57.1,1141,1144,31.45,0.0874,265.531,149.835082835823,407279,420338,1.06444813847107,27,0.0699,0.52
"27099",1382.89,138,162,0.17,0.6,35.12,80.5,0.995,0.147,73.72,0.35,10.5,32.6,42.7,779,798,28.45,0.0073,67.055,114.519273183916,476537,485977,1.10423606716898,22,0.0068,0.611
"28002",162.11,150,143,0.2,0.481,20.55,41.2,0.998,0.0844,43.04,0.43,10.9,32.2,40,782,779,38.16,0.0272,17.52,27.9994197284285,402694,332292,1.02220766279435,15,0.0212,0.464
"28003",405.595,144,95,0.14,0.517,24.85,33.4,0.938,0.1206,44.3,0.31,11,33.7,41.4,726,731,34.21,0.5917,79.659,36.730073739778,402926,292047,1.03295478081381,57,0.4029,0.497
"28007",4395.425,136,140,0.07,0.511,86.14,46.1,0.954,0.1237,132.23,0.32,10.5,32.2,40,751,761,33.82,0.1176,249.102,328.540564093274,410835,319153,1.11756689120365,32,0.0872,0.518
"28008",397.9725,270,147,0.14,0.539,30.16,112.6,0.991,0.0405,53.62,0.41,10.4,35.8,45.3,1022,1020,24.77,0.0073,86.2455,85.8537076189521,412867,354823,1.03264298893921,70,0.0034,0.555
"28009",7466.405,142,134,0.06,0.497,96.63,53.7,0.944,0.1158,159.55,0.31,10.6,32.5,41.1,760,771,34.23,0.105,440.397,534.992384997094,425256,326248,1.0573969628322,65,0.0773,0.505
"28011",687.185,311,127,0.12,0.542,34.05,133.9,0.947,0.0303,58.22,0.41,10,37.5,51.1,1114,1128,26.13,0.0154,113.921,134.614791832396,418164,376340,1.0831909065902,45,0.0074,0.565
"28012",1206.5975,129,177,0.07,0.513,41.35,41.7,0.951,0.1145,72.87,0.35,10.5,31.2,38.9,746,761,33.98,0.0812,65.041,105.704292058503,392747,326331,1.06120185781082,56,0.065,0.52
"28015",528.1825,77,68,0.2,0.738,39.39,32.7,0.904,0.1188,62.61,0.27,11.4,32.3,41.4,650,652,18.92,0.0705,9.846,12.7485469879855,460693,370341,1.05944790433741,38,0.0674,0.787
"28018",884.065,217,157,0.14,0.511,52.73,91.9,0.976,0.0748,87.71,0.42,10.4,34.3,43.1,935,935,30.17,0.0143,113,148.307176809295,408549,349044,1.05435990203404,61,0.0091,0.528
"28019",3066.705,120,126,0.04,0.508,58.18,34.2,0.948,0.1319,96.55,0.31,10.6,31.8,39.4,707,722,34.72,0.1544,176.161,204.53999332621,408823,309054,1.02762697828133,62,0.1149,0.512
"28022",8209.425,134,122,0.06,0.496,129.73,51.6,0.946,0.131,202.13,0.3,10.6,32.3,40.9,747,756,34.76,0.0994,426.126,561.401701001843,429407,327745,1.03200947883876,55,0.0735,0.502
"28023",152.28,340,122,0.12,0.649,16.46,117.7,0.976,0.0231,26.54,0.52,10,37.4,51.1,1165,1202,14.32,0.0229,16.81,30.1203943967644,411221,374539,1.05626207495114,59,0.0121,0.678
"28024",417.0125,117,240,0.03,0.388,28.1,40.6,0.953,0.0885,55.23,0.28,11.1,30.7,40.5,634,648,41.93,0.0225,33.633,39.1303560721075,476502,316706,1.06514958349971,56,0.0151,0.403
"28026",371.5775,108,256,0.09,0.442,23.99,26.8,0.982,0.1401,40.21,0.3,10.7,31.7,39.5,653,680,39.46,0.0779,46.049,37.3364892590211,437209,299082,1.13437339747305,56,0.0682,0.446
"28027",183.7025,100,161,0.14,0.421,16.76,52.4,0.925,0.0654,33.98,0.35,10.6,31.4,39.6,708,719,35.39,0.1549,18.258,22.0465227295585,446001,347002,1.11763361778965,56,0.1087,0.409
"28031",148.145,308,98,0.18,0.448,19.5,117.1,1,0.0326,34.07,0.44,10.1,36.3,46.4,1098,1087,33.31,0.0034,66.857,57.1841355910027,407641,356770,1.04258184418723,52,0.0022,0.455
"28032",59.915,126,83,0.32,0.772,8.27,41.6,0.976,0.0625,16.7,0.38,10.9,33,40.8,699,710,13.6,0.0972,4.899,2.72146475512428,451180,364612,1.08653428288213,52,0.0909,0.821
"28033",7.915,408,108,0.22,0.347,3.14,166.7,1,0.0075,6.11,0.52,10.5,41.6,55.6,1346,1361,42.5,0,4.138,8.28903446656396,404549,368132,1.05021687065474,48,0,0.403
"28035",118.32,88,134,0.28,0.691,10.95,43.4,0.957,0.0684,20.23,0.35,10.8,31.9,40.7,687,693,19.6,0.277,13.365,6.23755812477067,454563,347111,1.0692783053773,32,0.2106,0.762
"28039",73.6825,168,77,0.23,0.518,8.09,44.4,0.948,0.066,16.83,0.3,11.1,34.5,44,781,792,34.91,0.4537,31.924,10.6675596225395,402619,281196,1.08171422606861,56,0.3308,0.511
"28040",58.515,185,228,0.19,0.413,8,68.3,0.969,0.0561,15.68,0.44,9.9,32.3,41.6,861,878,33.94,0.1578,11.5275,15.9654375909864,389787,351444,1.07688909865613,56,0.1467,0.403
"28041",37.04,327,110,0.22,0.311,8.54,86.2,1,0.0328,16.63,0.44,10.1,35.4,44.5,1085,1065,47.08,0.0045,26.313,23.7209533405663,405264,353964,1.05997065958278,38,0.0033,0.302
"28043",344.365,335,139,0.12,0.436,24.07,158.7,0.909,0.0258,42.68,0.41,9.9,38.5,54,1170,1180,37.49,0.0061,88.1655,96.8406020443094,418886,383583,1.07823067660483,48,0.0023,0.461
"28045",258.8075,100,71,0.24,0.763,19.45,37.7,0.934,0.0663,32.59,0.28,11.2,32.4,41.4,678,682,16.48,0.1056,8.94,7.80142290480749,457647,363772,1.06751249694971,19,0.0917,0.831
"28046",85.685,317,185,0.09,0.626,16.41,141.2,1,0.0265,31.88,0.46,10.2,36.3,47.4,1098,1151,15.67,0.0037,13.187,19.9195558630762,411773,361407,1.04684820497932,53,0.0012,0.651
"28048",128.635,158,135,0.16,0.481,12.16,68.1,0.945,0.056,24.12,0.36,10.7,34,42.7,800,783,29.55,0.0732,31.7,20.1108524281266,438854,358998,1.05232366232801,53,0.0415,0.464
"28049",75.375,97,89,0.24,0.729,10.57,34.2,0.942,0.0904,19.66,0.38,11.3,32.4,42,664,648,15.71,0.066,5.668,3.10131481342301,451974,381775,1.08739170754076,53,0.0647,0.748
"28053",268.595,119,15,0.04,0.481,15.49,24.5,0.952,0.1281,29.32,0.32,10.6,30.4,37.8,698,708,36.89,0.1054,28.138,27.4127466278052,389928,310002,1.07327874618392,51,0.0688,0.464
"28055",51.0575,167,137,0.18,0.457,7.87,106.9,0.997,0.0264,16.22,0.35,11,34.2,42.6,852,842,30.41,0.0225,14.3895,13.6221033299899,428773,349408,1.11093054310259,44,0.0129,0.455
"28056",91.895,114,119,0.16,0.355,15.25,38.4,0.962,0.0774,27.94,0.3,11,31,39.4,672,688,43.22,0.0767,12.025,14.2215494098397,450442,307232,1.0977083831323,51,0.0618,0.353
"28058",38.5175,208,185,0.21,0.446,9.19,92.9,0.977,0.0304,16.74,0.36,11.2,34.9,42.6,895,872,31.03,0.021,10.6,11.4531308841482,422845,349881,1.11279904419695,13,0.0096,0.448
"28061",136.335,230,232,0.11,0.437,11.95,92.3,0.927,0.0527,23.09,0.44,10.2,35,43.2,976,982,35.2,0.0288,27.0935,34.1627076334677,396765,356766,1.06116534492413,44,0.0214,0.442
"28067",1176.63,241,134,0.14,0.538,64.29,108.9,0.951,0.0535,107.5,0.38,10.3,35.8,47.3,979,983,27.39,0.0483,172.5,173.471791488632,425052,365068,1.05384234060939,50,0.0307,0.55
"28070",8.455,386,213,0.33,0.405,2.63,85.3,1,0.031,5.83,0.38,10.1,38.8,52.3,1006,988,40.33,0,4.302,4.78937314056299,426300,382090,1.0726258668925,56,0,0.426
"28080",795.1,132,79,0.11,0.48,29.29,30.5,0.945,0.1176,53.49,0.3,10.8,32.9,40.8,716,722,36.22,0.3826,117.175,72.2097275484572,410266,287273,1.05534022882443,42,0.2705,0.472
"28081",174.455,149,94,0.07,0.413,9.72,27.3,0.94,0.1463,18.87,0.31,11,33.6,41.1,712,713,38.2,0.6663,39.12,23.104507620428,398667,296742,1.09364621239771,33,0.4206,0.4
"28082",180.5575,103,64,0.1,0.446,12.36,26,0.982,0.1137,23.04,0.3,10.8,31.3,38.5,637,668,39.95,0.0444,16.205,18.5932704807053,449049,294044,1.05620141030437,50,0.0361,0.445
